station_code,pollutant,pandemic_JanJul2020,baseline_JanJul2024,current_JanJul2025,min_coverage_across_windows,decision
CE,CO,100.0,100.0,98.53,98.53,MAIN
CE,NO,95.2,99.86,98.85,95.2,MAIN
CE,NO2,93.35,100.0,100.0,93.35,MAIN
CE,NOX_final,99.43,100.0,100.0,99.43,MAIN
CE,O3,93.76,97.06,98.55,93.76,MAIN
CE,PM2.5,94.55,74.93,97.88,74.93,CONSERV
NE,CO,23.64,100.0,83.48,23.64,EXCLUDE
NE,NO,65.37,100.0,83.46,65.37,CONSERV
NE,NO2,0.0,100.0,83.48,0.0,EXCLUDE
NE,NOX_final,0.0,100.0,87.81,0.0,EXCLUDE
NE,O3,0.41,97.33,82.38,0.41,EXCLUDE
NE,PM2.5,99.81,94.99,97.1,94.99,MAIN
NE2,CO,55.22,77.59,64.91,55.22,EXCLUDE
NE2,NO,4.0,99.98,51.99,4.0,EXCLUDE
NE2,NO2,4.71,100.0,51.99,4.71,EXCLUDE
NE2,NOX_final,13.87,99.98,51.99,13.87,EXCLUDE
NE2,O3,21.97,96.78,97.86,21.97,EXCLUDE
NE2,PM2.5,93.74,96.48,0.84,0.84,EXCLUDE
NO,CO,0.0,82.77,99.95,0.0,EXCLUDE
NO,NO,28.26,85.34,99.95,28.26,EXCLUDE
NO,NO2,0.16,85.27,96.1,0.16,EXCLUDE
NO,NOX_final,0.22,85.27,99.95,0.22,EXCLUDE
NO,O3,0.53,93.55,98.38,0.53,EXCLUDE
NO,PM2.5,100.0,35.97,0.54,0.54,EXCLUDE
NO2,CO,99.84,100.0,95.49,95.49,MAIN
NO2,NO,84.11,98.34,33.65,33.65,EXCLUDE
NO2,NO2,79.55,98.26,33.74,33.74,EXCLUDE
NO2,NOX_final,84.44,98.24,41.72,41.72,EXCLUDE
NO2,O3,78.66,97.97,94.4,78.66,CONSERV
NO2,PM2.5,92.0,62.31,87.53,62.31,CONSERV
SE,CO,91.47,100.0,55.43,55.43,EXCLUDE
SE,NO,0.0,100.0,100.0,0.0,EXCLUDE
SE,NO2,0.0,100.0,100.0,0.0,EXCLUDE
SE,NOX_final,0.0,100.0,100.0,0.0,EXCLUDE
SE,O3,97.75,98.74,98.37,97.75,MAIN
SE,PM2.5,98.74,68.15,97.63,68.15,CONSERV
SO,CO,37.71,100.0,99.46,37.71,EXCLUDE
SO,NO,91.02,100.0,99.46,91.02,MAIN
SO,NO2,74.89,99.98,99.46,74.89,CONSERV
SO,NOX_final,93.94,99.98,99.46,93.94,MAIN
SO,O3,48.31,98.77,95.54,48.31,EXCLUDE
SO,PM2.5,99.98,77.04,87.19,77.04,CONSERV
